#,Team,Season,Playoffs,PTS/G,PTS,Plays,YDS,YDS/Play,1STDWN,3DMADE,3DATT,3DPCT,MADERED,ATTRED,PCTRED,PEN, PENYARDS,TOP,TOP 2,TODIFF,DefPTS,DefPLAYS,DefYDS,DefYDS/PLAY,Def1STDWN,Def3dMADE,Def3dATT,Def3dPCT,DefMADERED,DefATTRED,DefPCTRED,DefPEN,DefPENYDS,DefTOP
301,Titans,2011,N,20.3,325,984,5361,5.4,281,80,218,36.7,22,37,59.5,104,960,28:54:00,28:54,1,317,1080,5675,5.3,324,96,236,40.7,23,48,47.9,99,812,32:06:00
302,Titans,2012,N,20.6,330,957,5010,5.2,260,83,217,38.2,18,36,50,106,847,28:41:00,28:41,-4,471,1086,5999,5.5,358,85,214,39.7,37,58,63.8,86,717,33:09:00
303,Titans,2013,N,22.6,362,1032,5390,5.2,311,94,227,41.4,28,49,57.1,101,900,30:17:00,30:17,0,381,1027,5408,5.3,329,69,201,34.3,32,50,64,95,779,30:18:00
304,Titans,2014,N,15.9,254,919,4859,5.3,258,59,196,30.1,19,39,48.7,111,961,28:31:00,28:31,-10,438,1099,5968,5.4,357,94,227,41.4,37,63,58.7,93,731,32:29:00
305,Titans,2015,N,18.7,299,976,4988,5.1,298,64,201,31.8,26,40,65,93,779,30:35:00,30:35,-14,423,1003,5475,5.5,317,92,216,42.6,33,53,62.3,112,982,31:44:00
306,Titans,2016,N,23.8,381,1008,5728,5.7,322,100,217,46.1,36,50,72,110,1012,31:32:00,31:32,0,378,1031,5721,5.5,324,77,210,36.7,29,55,52.7,137,1191,29:28:00
307,Titans,2017,Y,20.9,334,974,5024,5.2,290,71,202,35.1,21,40,52.5,85,785,30:06:00,30:06,-4,356,1046,5248,5,323,78,214,36.4,27,56,48.2,119,942,30:24:00
308,Titans,2018,N,19.4,310,938,4998,5.3,289,82,205,40,25,47,53.2,82,727,30:47:00,30:47,-1,303,1001,5334,5.3,298,75,205,36.6,21,47,44.7,120,984,31:51:00
309,Titans,2019,Y,25.1,402,949,5805,6.1,317,70,185,37.8,34,45,75.6,99,932,29:31:00,29:31,6,331,1056,5752,5.4,335,74,204,36.3,32,47,68.1,125,1025,31:29:00
310,Titans,2020,Y,30.7,491,1031,6343,6.2,381,84,182,46.2,48,64,75,86,783,29:43:00,29:43,11,439,1076,6372,5.9,391,111,214,51.9,45,65,69.2,103,840,32:48:00
311,Vikings,2011,N,21.2,340,1007,5275,5.2,297,83,216,38.4,30,53,56.6,109,908,29:43:00,29:43,-3,449,1027,5731,5.6,332,92,208,44.2,29,56,51.8,97,834,31:25:00
312,Vikings,2012,Y,23.7,379,1001,5385,5.4,306,78,210,37.1,28,52,53.8,90,830,29:44:00,29:44,-1,348,1083,5600,5.2,345,95,230,41.3,31,51,60.8,111,949,32:34:00
313,Vikings,2013,N,24.4,391,1013,5508,5.4,309,78,214,36.4,25,48,52.1,70,695,28:28:00,28:28,-12,480,1132,6365,5.6,368,102,231,44.2,39,63,61.9,100,1003,33:18:00
314,Vikings,2014,N,20.3,325,980,5039,5.1,288,82,210,39,21,39,53.8,100,836,29:52:00,29:52,-1,343,1026,5515,5.4,321,90,217,41.5,26,48,54.2,112,938,31:26:00
315,Vikings,2015,Y,22.8,365,973,5139,5.3,297,76,199,38.2,22,44,50,88,797,31:34:00,31:34,5,302,1015,5507,5.4,318,71,206,34.5,19,43,44.2,109,875,30:48:00
316,Vikings,2016,N,20.4,327,1006,5041,5,303,81,213,38,23,50,46,103,882,31:36:00,31:36,11,307,993,5038,5.1,304,80,206,38.8,24,44,54.5,99,825,30:49:00
317,Vikings,2017,Y,23.9,382,1055,5710,5.4,334,94,216,43.5,33,57,57.9,100,949,32:26:00,32:26,5,252,956,4415,4.6,260,51,202,25.2,16,40,40,105,928,28:34:00
318,Vikings,2018,N,22.5,360,1003,5529,5.5,310,73,204,35.8,27,50,54,92,779,30:34:00,30:34,0,341,993,4955,5,303,58,190,30.5,22,49,44.9,106,834,31:03:00
319,Vikings,2019,Y,25.4,407,970,5656,5.8,314,83,194,42.8,34,56,60.7,96,895,29:50:00,29:50,11,303,1053,5465,5.2,324,85,214,39.7,21,48,43.8,83,713,31:10:00
320,Vikings,2020,N,26.9,430,1023,6292,6.2,383,74,181,40.9,42,59,71.2,82,650,30:02:00,30:02,-1,475,1036,6292,6.1,366,73,185,39.5,34,58,58.6,83,723,30:21:00
